0 Untitled
0 Name: prop_criotank.dat
0 Author: MLCad
0 Unofficial Model
0 ROTATION CENTER 0 0 0 1 "Custom" 
0 ROTATION CONFIG 0 0
1 15 0 -72 0 1 0 0 0 1 0 0 0 1 2618.DAT
0 MLCAD BTG Glass
1 42 0 -216 -70 1 0 0 0 1 0 0 0 1 301.DAT
0 MLCAD BTG Glass
1 42 70 -216 0 0 0 -1 0 1 0 1 0 0 301.DAT
0 MLCAD BTG Glass
1 42 0 -216 70 -1 0 0 0 1 0 0 0 -1 301.DAT
0 MLCAD BTG Glass
1 42 -70 -216 0 0 0 1 0 1 0 -1 0 0 301.DAT
0 GROUP 4 Glass
1 15 0 -288 0 0 0 -1 0 1 0 1 0 0 2598.DAT
1 15 54 -291 -11 0 0 -1 0 1 0 1 0 0 3062B.DAT
1 15 54 -291 12 0 0 -1 0 1 0 1 0 0 3062B.DAT
1 15 0 -296 0 0 0 -1 0 1 0 1 0 0 2376.DAT
1 5 0 -80 0 0 0 -1 0 1 0 1 0 0 874.DAT
1 5 10 -120 0 0 0 -1 0 1 0 1 0 0 4288.DAT
1 5 -20 -152 0 0 0 -1 0 1 0 1 0 0 2696.DAT
1 7 0 -24 -60 0 0 -1 0 1 0 1 0 0 3941.DAT
1 7 0 -24 60 0 0 -1 0 1 0 1 0 0 3941.DAT
1 7 60 -24 0 0 0 -1 0 1 0 1 0 0 3941.DAT
1 7 -60 -24 0 0 0 -1 0 1 0 1 0 0 3941.DAT
1 15 0 -82 -104 -1 0 0 0 0 1 0 1 0 2431P79.DAT
1 15 -19 -109.747 -96.314 -1 0 0 0 0.258819 0.965926 0 0.965926 -0.258819 3068BP51.DAT
1 15 98 -82 0 0 -1 0 0 0 1 -1 0 0 2431P79.DAT
1 15 -102 -82 0 0 1 0 0 0 1 1 0 0 2431P79.DAT
1 15 0 -82 96 1 0 0 0 0 1 0 -1 0 2431P79.DAT
1 15 0 0 0 1 0 0 0 0 1 0 -1 0 axis20x.dat
0
